SUM,Φούρνος Προθέρμανσης 1 καύσης Φ.Α.,Φούρνος Προθέρμανσης 2 καύσης Φ.Α.,Φούρνοι Προθέρμανσης 1-2 καύσης Φ.Α.,Επαγωγικός Φούρνος Προθέρμανσης,Μηχανισμός αφαίρεσης οξειδίων πριν τη διέλαση,Κύριο σώμα μηχανισμού διέλασης,Έξοδος διέλασης,Υδραυλικές Αντλίες Πρέσας,Υδραυλικές Αντλίες Πρέσας.1,Αντλιοστάσιο Πρέσας,Q_KG (Produced Quantity),Q_ST (Produced Pieces),MACHMINS (MACHINE MINUTES),TOTDH (TOTAL DELAYS -HOURS)
537557.927842148,24520.329021394253,24889.88077104096,40019.001504203,119921.12039631605,50023.751880253745,13247.035330112096,23782.79226180911,78282.75831583142,103389.04683887959,68214.20710943693,6107974.645779014,10706.168258666992,19093.012129068375,157.61936657875776
540127.4105368926,21047.10446691513,21636.114133572613,39100.57181506519,118731.09081703424,48875.71476883149,11994.107115654355,25382.71155655384,75217.11266125739,105876.12072348595,66648.70195749748,5947046.835365176,10428.189999222755,19483.58259692788,152.59186343103647
550285.4255840778,21646.099159121513,27694.13989708429,32500.304234206087,122578.23879185319,40625.37856887204,11621.967323435847,28668.05295330286,89947.10400778055,118356.06179773808,55398.243503007325,6504988.479223847,11405.234245181084,19657.095501422882,139.11503122001886
595841.65615105,21377.075785636902,24624.93745427136,38541.99151659113,147573.4605629444,48177.489395738914,11186.321289376994,32318.392589509487,85521.03274229169,123818.71783733368,65696.57879948794,7109537.464362383,12442.235777258873,22414.715154469013,224.7151221781969
578556.835115735,25201.521043777466,25793.664804315616,40582.411440494645,147165.4744041264,50728.01085284716,10886.868970796768,28202.4033729434,73998.30814945698,120393.45646321774,69174.56730614165,7189331.557743132,12578.498786985874,22149.27333623171,221.81142565608025
568111.4029971088,25250.58177882433,26350.964519739202,39063.76754766431,144588.96982064843,48829.70943458039,10929.445374350664,28077.475974738598,72518.46337410808,119478.74400258064,66585.9744630506,7144344.919831991,12499.770240008831,22095.544700324535,215.97944197058678
560037.1354436092,24206.031684279442,26226.98002412324,37617.6826880997,144091.4576086998,47022.099912353486,10678.148868945394,28715.006411612034,72563.56008376181,120253.46298575401,64121.04768578053,7145171.316957653,12502.178076028824,22235.099472105503,213.83829206973314
594388.2223641523,24400.565730512142,22354.112044191395,46293.94498507348,145136.42819473147,57867.431231341856,10540.10543367921,27424.281236618757,81111.36702629924,123444.31440234184,78910.13349728435,7267240.482467353,12733.284188687801,22937.65683978796,213.41389731317759
496234.3115612468,18970.24952709675,18076.3878967047,40484.800902101444,115310.76946948469,50606.001127626805,9911.51267329861,22692.001086622477,66259.56602703035,93705.53679525852,69008.1904081139,5334366.225411385,9337.609284251928,17248.420328199863,129.97500679269433
559089.1133606501,21126.548492193222,19196.061470854307,43408.79630710056,147697.1998976767,54260.9953838757,9150.377013899782,31679.227772176266,76639.00645720959,115391.20985507965,73992.26643255778,6246336.648257792,10963.394560694695,22882.220225930214,152.00383017584682
605308.3428163454,22105.09275317192,18863.417756903196,38386.015729175095,169713.59568083286,47982.517937583296,9407.393416322437,36530.71201175451,94661.01974833012,129390.70234000683,65430.70627852267,7361220.111526489,12876.130983293056,24660.52960664034,175.77598110586405
667496.7767827641,27519.05798405409,18891.49347288611,59203.51170713795,162662.96719250083,74004.38963392244,10173.854234704324,25519.002215623856,95904.52799189091,124878.34097445011,100915.0767735306,7403885.50892961,12967.331371486187,23460.350765883923,178.37260008603334
493476.75186034164,17156.303153574467,16459.888172996063,41133.01497565148,110116.73326173425,51416.26871956435,10542.437858510151,18805.940212078393,72782.05919611454,84725.15589401126,70113.10311150906,4732572.959467977,8282.798541113734,16552.883861884475,97.19624330103397
707542.4655082398,30250.74138736725,22064.56817467216,50151.349955273974,195005.71020942926,62689.18744409246,9880.518407019885,28957.190932512283,109482.1593465209,131989.7295409441,85485.25560558063,7371992.40630883,12926.770476460457,24599.93394345045,190.0567516386509
599628.6180824328,19977.200827658176,21196.930866384537,41219.18580939109,176341.27571988106,51523.978813967726,10470.513507954687,19394.34676167369,92441.1079596281,121961.69479429722,70259.97581146209,7381924.420675874,12906.366777718067,21452.415406107903,240.1704929471016
539353.4408429081,24497.541162848473,24799.484632301377,40049.63012393193,120816.79833057523,50062.04282657163,13182.196221058522,23820.197693288326,78314.21099352837,103708.43788743019,68266.41498397489,6120704.256805003,10728.352296769619,19152.11733520031,158.03378761559725
595714.979175834,22441.075688779354,23790.7013733149,44060.52986543371,134437.38140562177,55075.658884021,12208.77482659087,25789.713969230652,89941.51282447577,120596.93148851395,75103.17590698929,7012029.6589766145,12300.447562813759,22123.58441144228,202.59639021754265
564813.726211518,25052.259397685528,26564.338285422375,38056.10678312006,137684.53786328435,47570.13175501452,12032.21687369336,26316.195845246315,74541.65092292428,113968.50027322769,64868.36383486375,6804234.821488261,11901.703607439995,21151.753736436367,191.06603708863258
