SUM,Φούρνος Προθέρμανσης 1 καύσης Φ.Α.,Φούρνος Προθέρμανσης 2 καύσης Φ.Α.,Φούρνοι Προθέρμανσης 1-2 καύσης Φ.Α.,Επαγωγικός Φούρνος Προθέρμανσης,Μηχανισμός αφαίρεσης οξειδίων πριν τη διέλαση,Κύριο σώμα μηχανισμού διέλασης,Έξοδος διέλασης,Υδραυλικές Αντλίες Πρέσας,Υδραυλικές Αντλίες Πρέσας.1,Αντλιοστάσιο Πρέσας,Q_KG (Produced Quantity),Q_ST (Produced Pieces),MACHMINS (MACHINE MINUTES),TOTDH (TOTAL DELAYS -HOURS)
569707.9329061683,25626.0,29678.0,27253.684183168985,130700.0,34067.105228961234,14555.0,30944.0,104115.0,126314.0,46455.14349403804,7068893,12436.0,23955,164.25
413096.7837542463,18717.0,19952.0,22214.88784590136,87800.0,27768.609807376703,10575.0,21850.0,75681.0,90672.0,37866.28610096823,5310606,9244.0,15645,103.25
552313.0248860957,25493.0,26938.0,30122.305143610385,116400.0,37652.88142951298,14012.0,29426.0,99505.0,121419.0,51344.83831297224,7010709,12301.0,22995,166.75
612465.6492491006,28429.0,28654.0,30064.80785609439,149400.0,37581.00982011799,15233.0,32161.0,108439.0,131257.0,51246.83157288816,7509501,13178.0,24635,175.75
647454.6923179945,28030.100000000093,29260.400000000023,44286.92357466522,133303.19999999995,55358.65446833152,14706.02000000002,31000.810000000056,107438.52000000002,128580.99000000022,75489.07427499752,7463621,13139.0,24465,163.75
529641.6960168831,21136.09999999986,23393.29999999993,37520.39209622351,103435.21999999996,46900.4901202794,18645.0,24342.459999999963,91593.25999999978,98720.25999999978,63955.21380038098,5708452,10029.0,17860,116.333
705749.6355292199,14654.90000000014,33487.20000000007,55857.04300738886,162051.49,69821.30375923608,14129.530000000028,32325.050000000047,104867.24000000022,123345.00999999978,95210.86876259463,7322461,12766.0,21825,224.25
654254.2693251986,5337.0,23613.0,40042.84971441804,184948.0,50053.56214302254,12023.0,34213.0,109366.0,126403.0,68254.85746775802,6655842,11640.0,18870,344.5
639248.2308685246,15675.600000000091,15490.800000000048,43041.90527709813,160067.3500000001,53802.38159637266,13950.73999999999,31611.389999999898,106314.0299999998,125927.15000000036,73366.88399505363,7225801,12709.0,22830,270.75
591130.0995304276,15301.399999999909,14620.199999999952,40187.083789303695,137586.52000000002,50233.85473662963,16273.089999999967,28305.780000000028,100634.9700000002,119486.48999999928,68500.71100449494,6837359,11982.0,21555,168.25
624950.632937667,15300.100000000091,15036.800000000048,43009.43430607663,148496.48999999976,53761.79288259578,13818.350000000091,30091.25,104447.31000000006,127677.5700000003,73311.53574899427,7316107,12875.0,22440,202.75
607554.2196487979,14131.899999999909,14441.199999999952,42042.15163532818,140238.64000000013,52552.68954416024,12851.819999999949,30100.580000000075,102807.68999999994,126724.79000000004,71662.75846930941,7492958,13080.0,22560,183.0
630000.7566396984,14828.0,14650.0,44597.73156406167,141177.0,55747.1644550771,13702.0,32957.0,107240.0,129083.0,76018.86062055967,7198981,12695.0,23555,195.25
445320.67991244,9959.0,10058.0,32453.71216176644,98218.0,40567.14020220804,9506.0,21708.0,75336.0,92196.0,55318.82754846552,5358674,9401.0,16185,88.25
602420.2658178094,13919.0,14050.0,47655.86032174491,135130.0,59569.82540218114,12507.0,25626.0,96326.0,116405.0,81231.58009388337,6604898,11565.0,20970,152.25
564552.2236719624,13813.0,14224.0,37277.412882565215,139908.0,46596.76610320652,14955.0,24888.0,96402.0,112947.0,63541.0446861907,6408369,11213.0,20130,161.5
654338.2456580924,24939.0,22657.0,57340.15407446017,134601.0,71675.1925930752,12652.0,23164.0,94760.0,114811.0,97738.8989905571,6809240,11935.0,20880,181.25
428620.84697071847,17965.0,15052.0,33311.501532825365,93568.0,41639.3769160317,9989.0,16060.0,68280.0,75975.0,56780.96852186142,4337878,7607.0,14625,97.25
701592.5297990844,31568.0,27483.0,49223.99604114778,165277.0,61529.99505143474,11104.0,27546.0,110245.0,133711.0,83904.5387065019,7538755,13216.0,24030,174.0
625823.6472536643,28305.800000000047,24542.900000000023,42641.55493770817,158722.04000000004,53301.94367213523,11793.319999999949,24980.77000000002,90184.52000000002,118666.33000000007,72684.46864382076,7209251,12574.0,22995,195.25
722772.4893381217,26538.199999999957,24620.099999999977,68490.08879814578,152666.95999999996,85612.61099768222,11046.680000000051,24808.22999999998,92179.47999999998,120065.66999999993,116744.46954229394,7053086,12396.0,23265,155.0
594963.3653045618,23925.0,23494.0,41400.299272417935,152041.0,51750.374090522426,12761.0,23624.0,83984.0,111415.0,70568.69194162148,6563744,11548.0,21555,163.25
558142.6502630108,23701.0,23714.0,40212.11845731307,126212.0,50265.14807164133,13620.0,23985.0,79765.0,108125.0,68543.38373405636,6205612,10908.0,20175,164.5
566827.3736292549,23383.0,25239.0,38178.69218211042,126821.0,47723.36522763802,12609.0,26615.0,84220.0,116961.0,65077.31621950641,6676003,11686.0,20475,166.75
599906.3682412378,23084.600000000093,23107.599999999977,40556.84530238208,140355.8799999999,50696.0566279776,12029.290000000035,30418.90999999992,88687.02000000002,121839.1799999997,69130.98631087855,6962457,12177.0,22350,203.75
485210.107747716,18462.399999999907,17378.70000000007,38847.62218907741,110365.90000000036,48559.52773634677,7847.130000000005,22339.430000000168,65257.00999999978,89934.85000000056,66217.53782229105,5056267,8843.0,16650,123.583
690159.4913877978,27997.699999999957,25060.399999999907,46364.11276473061,175532.21999999974,57955.14095591326,10429.579999999958,33243.65999999992,100267.9700000002,134278.96999999974,79029.73766715446,7669872,13442.0,25680,188.5
699194.5900127366,29695.300000000047,24283.300000000047,49986.5262101173,167262.0,62483.15776264664,12426.0,30596.0,106578.0,130680.0,85204.30603997268,7678676,13425.0,25260,149.75
660429.1168708394,22881.0,30252.0,47215.31690986744,155655.0,59019.14613733428,11823.0,28692.0,103204.0,121207.0,80480.65382363767,6944570,12149.0,23115,187.75
617985.1879645317,20354.0,25789.0,46307.51879562871,141737.0,57884.39849453589,14539.0,25723.0,98401.0,108317.0,78933.27067436712,6220386,10935.0,21315,150.0
701020.5098331117,27102.0,26660.0,45838.51972791328,176612.0,57298.149659891606,11158.0,32613.0,112089.0,133516.0,78133.84044530673,7653952,13361.0,26505,182.25
654502.7640619307,23139.0,28500.0,43650.46907313189,167321.0,54563.08634141488,11124.0,28493.0,103999.0,119309.0,74404.20864738392,6829007,11949.0,22815,157.0
804926.9783387497,25157.0,32140.0,45986.82210864937,175955.0,57483.52763581172,107482.0,31148.0,113623.0,137565.0,78386.6285942887,7834501,13684.0,25560,212.75
417095.062723512,16253.0,15649.0,29903.073332382333,98179.0,37378.84166547792,15350.0,18668.0,62808.0,71935.0,50971.1477256517,4016092,7067.0,13515,250.0
699831.2352289691,30175.0,26107.0,44322.22040272784,187553.0,55402.775503409786,11864.0,36545.0,107468.0,124845.0,75549.23932283153,7325653,12760.0,28005,172.25
772408.7088310637,31140.0,27872.0,52940.01832509655,212772.0,66175.02290637068,10203.0,41033.0,110764.0,129271.0,90238.66759959636,7579706,13267.0,29880,200.25
804519.910223491,31397.0,26377.0,54498.52902203222,241709.0,68123.16127754026,12361.0,38818.0,111245.0,127096.0,92895.21992391854,7378597,12932.0,28215,191.25
731678.1524535476,28805.0,24744.0,56000.659241127,190155.0,70000.82405140875,13448.0,37261.0,101871.0,113937.0,95455.66916101196,6643559,11657.0,26135,170.5
