SUM,Φούρνος Προθέρμανσης 1 καύσης Φ.Α.,Φούρνος Προθέρμανσης 2 καύσης Φ.Α.,Φούρνοι Προθέρμανσης 1-2 καύσης Φ.Α.,Επαγωγικός Φούρνος Προθέρμανσης,Μηχανισμός αφαίρεσης οξειδίων πριν τη διέλαση,Κύριο σώμα μηχανισμού διέλασης,Έξοδος διέλασης,Υδραυλικές Αντλίες Πρέσας,Υδραυλικές Αντλίες Πρέσας.1,Αντλιοστάσιο Πρέσας,Q_KG (Produced Quantity),Q_ST (Produced Pieces),MACHMINS (MACHINE MINUTES),TOTDH (TOTAL DELAYS -HOURS)
552330.6258160389,14964.579426556826,15024.183868867172,42287.6225045416,125034.62306180598,51839.17577577702,10721.549267267701,22959.603349536657,93298.52470296621,108614.4646513462,71564.81536044707,6250733.554363727,11028.162786006927,19119.089275002476,150.00428265705705
627011.8057514554,13191.142282605171,14912.073720437302,41216.11591396507,155329.70186290145,52412.85214020217,13099.888051745822,31217.16995871067,104505.8365918994,126565.62089920044,69898.88368736142,7223725.245662629,12513.854404509068,22346.532596647736,227.5900277942419
629525.1899774558,12927.315948009491,14973.59570052625,41806.219873556875,155199.8023944795,52839.27592298105,12954.857920298022,31134.483406305313,104667.22370523214,126715.8869022131,70780.7969039587,7224308.343827306,12531.362389564514,22248.590644598004,230.27042296528816
608965.9769914119,15215.971329659224,14229.132575029145,43340.29599002477,134477.53465232253,54176.2319303168,12989.015101630357,31095.360982239246,103383.32930880785,125407.43471801281,74637.63277251691,7188242.971278786,12592.981693863869,22712.924593091007,178.12744208425283
552548.9707720298,15395.620174705982,14996.664304685606,41997.46222244386,125460.848812297,52185.313035826606,10829.025651560765,22918.698438584805,92096.48692625761,108435.06316840649,72037.86915092146,6225146.651566087,10902.271810948849,19237.848366647955,149.73823024705052
623749.3598318518,15390.78508362174,14678.55664622785,43200.10409890292,144828.19216796756,53695.10581057777,11663.543427034398,30165.4029661417,105718.39342582226,126973.1303447485,73490.80614219971,7316341.126008748,12817.72567665577,22944.006889164444,192.77690422534943
547584.6299665543,15457.053583413363,14758.437570840133,41669.27164552667,124987.48634262384,52363.17320579785,11044.034837806714,22736.43896844983,91002.50800478458,107587.77540326118,72181.38497551584,6187002.654685794,10793.083842515945,19271.584589034315,146.30449085310102
603116.5322023933,26356.75368255377,27896.614065003447,39076.367082530516,129325.86025744678,48496.51855517403,15703.190398908635,28869.785813570023,102517.4440126419,117897.09192812443,64907.27585013805,6904019.7139691105,12150.401318788528,22822.959926426407,138.85286978259683
571189.7655983766,20975.60453146696,18988.21640568974,44201.01826487389,128788.65348336102,56026.21455989529,10528.984288071772,22474.01596492529,88026.80210667849,104493.08515310287,75445.83577640708,6133604.336420118,10576.654683470726,19106.52768731117,145.5675429366529
665653.3745604553,27917.02233141661,25797.8598577023,52198.18687082946,160961.2887430191,65161.718594052894,11139.252258491186,25096.865410119295,91858.22558569908,118999.98406946659,89997.48377586594,6933360.112056314,12053.19968032837,23086.69376671314,175.03138107061386
