SUM,Φούρνος Προθέρμανσης 1 καύσης Φ.Α.,Φούρνος Προθέρμανσης 2 καύσης Φ.Α.,Φούρνοι Προθέρμανσης 1-2 καύσης Φ.Α.,Επαγωγικός Φούρνος Προθέρμανσης,Μηχανισμός αφαίρεσης οξειδίων πριν τη διέλαση,Κύριο σώμα μηχανισμού διέλασης,Έξοδος διέλασης,Υδραυλικές Αντλίες Πρέσας,Υδραυλικές Αντλίες Πρέσας.1,Αντλιοστάσιο Πρέσας,Q_KG (Produced Quantity),Q_ST (Produced Pieces),MACHMINS (MACHINE MINUTES),TOTDH (TOTAL DELAYS -HOURS)
562721.2323079469,21378.984806239605,22235.452361679112,41536.75173475298,131759.36534136534,50425.694764029366,10471.537005960945,24797.704570412636,83306.32747802138,111601.11343801022,67433.3786248405,6647474.273914098,11125.641690433025,20203.15877974033,171.23576213419437
620029.7884631507,24322.42252844572,25048.88502490525,45880.2069314394,143003.29269731045,55984.858545030984,10250.620482446238,27246.066039443016,85089.51969254017,116004.94435846806,76775.04558228499,6791924.212695359,11607.508641421795,21799.577775299545,173.23039916157722
620219.4536024814,25649.285656690598,24854.9406126738,48275.0480751186,139690.75534194708,59231.49016763537,10626.106918281583,25080.264093846083,83917.27177682519,115346.34481489658,81203.51877207082,6806873.101708769,11699.168510198593,21765.67182809114,167.91750711202621
698387.718558924,27903.008775591854,25958.668375539826,57460.18346443874,160392.23549968004,72300.15980554289,10643.808701387463,24895.19506713748,93684.5919727087,121392.37155616283,98581.50302456248,7182121.578524231,12637.88497620821,23209.624284803864,189.80842434614897
692849.2209026536,29242.33447813988,26058.592759704636,54143.76964344747,163639.4653468728,67109.26452755992,10882.056024777856,25089.36035886407,99721.12847465277,125659.95655417442,91121.50104931694,7375722.459322452,12903.64420735836,24059.62862849235,178.38310074806213
665465.4376836922,28486.356065511707,26160.590930247352,46275.45665709446,161789.3795068264,56460.768187030146,10706.832052600015,27177.491275697947,100354.33149832487,123848.13888251781,77906.86500511647,7105629.8873173585,12493.24916535616,23588.68711709976,163.67093247175217
456931.6297716634,18096.098674088717,17169.0365319133,32270.024841325798,104429.3107096851,39045.472782092795,12164.454300777172,18538.438609436154,71210.64365009964,89583.80718618631,53747.240287180146,5005598.2057123175,8516.154826819897,16516.260366663333,128.15235533565283
633326.8538181118,24709.52687817812,20806.725266432793,55486.32621022846,138939.0584922135,70237.52037572903,13293.663783614975,22412.63887578249,88070.54266664386,109624.8766797781,96611.61428031167,6489224.80042529,11402.74437314272,20898.308731913563,159.6981158182025
558992.9729166095,18863.42723828554,17482.079124248048,41612.93644415303,124853.4243117869,51062.451549292986,10020.759718421721,22339.143108576536,95458.69018512964,107822.9872906208,68276.58434167903,6656049.139820575,11130.209282398224,19071.9106516242,148.10964247956872
624737.9493753474,14551.833850055933,15707.397329658284,46804.16270816575,146155.61612144113,58888.92997014699,10663.468399990354,27383.946423768997,99789.05256825686,117233.00014317036,80226.60222161893,6634917.86261618,11729.992360889912,21071.699707657095,162.66016547381878
468276.3714914904,10723.439217597246,11150.650985541943,34320.493639003675,107312.48491214217,43060.853936526684,14839.156165791606,20705.921823456883,79928.94382330775,98463.16155403852,58898.8497801535,5498062.500335424,9671.296310633421,16975.770813748237,125.59769318252802
610092.0685060698,13543.813122719526,12784.54049030841,44847.52362304529,135427.6079889834,55938.12055941193,13201.370802020732,31479.11143028736,99399.55971437693,122557.29003608227,78609.7965858197,7012685.81510806,12187.397985458374,22325.581335425373,161.016968421638
612623.9965223212,14512.26662287116,13824.812310183057,42717.592664718504,142017.51076737046,53078.551240328525,11237.001792828854,29212.270387768745,104214.47112518549,127599.57445800304,71923.26288736393,7379575.868778407,12922.450175762177,23092.401983141895,187.80962523818016
611805.6408417219,14456.92691424489,14669.817068046343,42763.184611209515,144221.12314799428,52960.297861768835,12014.330619686623,29568.43136239052,104724.5318197012,127372.06109702587,71983.55265089561,7337882.52924466,12942.062305808067,22826.216887235638,196.95208963751793
611330.9992179542,14166.112406730652,15633.067100268618,41895.31027990066,144646.4796912372,52161.37516077843,13148.201240498167,30069.68602526188,105032.57694321871,126645.18798589706,70934.63958671172,7257856.971838354,12847.14781576395,22284.01923805475,207.74768662452698
612272.29508984,14216.291818469763,15687.627931100145,41822.44784277432,144861.82750701904,52117.383324875045,13135.721060276073,30134.370576500893,105148.6530585885,126739.4597274065,70792.50365415902,7260644.781916081,12852.170155465603,22303.435172438618,208.68482679873705
631491.368906754,14230.726734697819,13741.217771816264,44282.53184935308,138968.82253354788,55957.52633929219,11432.544659424317,31309.80122500658,104495.7748849988,127414.4968765974,77073.68289929285,7340870.850439905,12751.479619801044,23368.28870594501,176.3602379411459
651699.9664631461,12270.066421121359,20394.211450660256,44295.836108640986,165998.65435779095,56279.3119917564,15595.026609970932,33131.07562083006,105327.98284250498,124101.0323446989,76426.37483731253,6967617.698218404,12244.534889042377,20756.834313869473,258.6506195068359
668985.8851787405,28712.904121458534,24992.431951284452,52876.13176450271,150806.01709094644,66186.9064479814,11028.546705511106,23820.096474826336,97512.08102750778,122193.67940306664,88948.87866033192,7253769.139622985,12811.22944945097,23165.47534704208,175.25117710977793
456252.78458358865,16935.980912566185,16487.070135927217,32588.4547781362,103790.62570945175,39464.7450255776,12362.323653502543,18606.1174781546,71666.37506480515,88935.36672443151,54436.53750018018,4979411.135131597,8593.54861228168,16529.93857786059,128.47895647212863
630867.4894747948,27395.773714959625,24839.64905655388,43333.5783527291,148858.9882683754,53042.93576441787,11213.818217500155,26075.538532316685,98542.28229629993,120085.05380928516,73068.84596931649,6878890.504539608,12221.062727689743,22624.602331817146,158.57774481922388
685828.0374477861,29216.801132142547,26240.32208139901,51265.112428983215,161898.9317280054,63416.422363585065,11307.769210189213,26391.164489924908,100672.81087237597,125171.92944169044,86220.8814597349,7283970.074072658,12881.153717398643,24106.153713762757,173.6680285707116
616144.3973075704,14567.577406942844,14086.383454793702,42552.2968623478,143428.10340592265,53098.946530526926,11186.380305218514,29188.50637680292,104706.06213617325,127918.05795669556,71645.75413878993,7394711.385619699,12959.045733630657,23071.122977435585,192.09711045771837
679680.7476246726,27913.699916362766,25425.19695436959,55039.20545727615,151881.99475347996,69735.25252333908,10908.24012880378,24294.89739495516,94325.95461058617,119793.79680633545,94581.94588594153,7116013.677584826,12624.429885983467,22796.515043377873,181.09260757267475
534892.923608201,12627.451963633299,11737.608115464453,39133.77798850088,120932.49692490698,48576.24481509251,14143.59174593315,27474.49154779315,91251.00066560507,114101.17076218128,67273.72017903614,6536445.737588047,11370.379586279392,20066.085501909252,144.8024723380804
567860.1976974362,17930.85347548127,17190.481019198913,42814.62673577653,126963.65768894555,52667.32006109276,10273.144305206988,22819.05556103587,96216.4772515297,108784.50115859509,70773.06997867588,6683349.377116143,11225.578520178795,19157.387583553787,150.44080090522766
681255.6619216342,28875.657117903236,26293.461286282585,48686.452677242865,160557.34359520674,60160.957551311454,11060.431962529276,27760.13674581051,102597.56815302372,125304.89723145962,82017.98888359834,7263716.175254225,12864.516576230526,24246.831205487248,168.26115750521421
664141.681976604,28222.17794579268,24594.231450986903,53380.25382821356,147368.6349710524,67209.18093529379,10824.209179438114,23439.82317864895,96279.27962738276,120724.69651401043,90343.1996242517,7213212.409080028,12754.482216954231,22869.36698466539,175.15115734934807
616171.7926047548,13625.308446139097,16740.315063142796,41304.04235277086,148020.11841732264,51836.948515618424,14412.660927687888,30835.743069767952,105007.99814987183,125626.07990860939,70353.777910507,7148930.046930193,12661.27391833067,21628.09278979897,223.3420632481575
677268.0930804766,28751.156454026703,26564.293597769785,47338.04869060278,161512.89821240306,58229.02312554145,11041.109656378854,27953.620301425457,102242.5704165101,124839.21462237835,79864.6755801847,7201483.760477244,12731.93848246336,24001.307668089863,167.33215820789337
629962.5104717257,12783.020726114511,18261.31866976025,42093.67848218669,156101.11297518015,53210.55433020784,15501.371067658294,31949.394732296467,104708.0157186389,124346.81797027588,72186.46260210876,7015348.220389246,12373.42293959856,20939.470415264364,242.7190303504467
533293.2414402557,23884.320280253887,21291.315378117593,37852.863432437356,124238.37876725198,46015.40073118112,11775.24816646338,21677.848288610578,85713.39549574256,106566.89525663853,63722.13429582182,6022388.71707636,10637.879189431667,19603.78825128078,145.0673143081367
640440.0322223481,20801.871148705482,18364.4109895468,54825.074045322785,144079.27035984397,69326.19516380919,12377.293262964156,23785.46115449071,94126.21670472622,112860.99214553833,95416.43971196834,6638914.429271816,11718.506923913956,21181.354623287913,165.21011569350958
