SUM,Φούρνος Προθέρμανσης 1 καύσης Φ.Α.,Φούρνος Προθέρμανσης 2 καύσης Φ.Α.,Φούρνοι Προθέρμανσης 1-2 καύσης Φ.Α.,Επαγωγικός Φούρνος Προθέρμανσης,Μηχανισμός αφαίρεσης οξειδίων πριν τη διέλαση,Κύριο σώμα μηχανισμού διέλασης,Έξοδος διέλασης,Υδραυλικές Αντλίες Πρέσας,Υδραυλικές Αντλίες Πρέσας.1,Αντλιοστάσιο Πρέσας,Q_KG (Produced Quantity),Q_ST (Produced Pieces),MACHMINS (MACHINE MINUTES),TOTDH (TOTAL DELAYS -HOURS)
705027.0494059778,9275.2364102453,26975.082051205685,65295.61850516891,156425.73321455717,81619.52313146113,12738.133191790996,26816.633317887783,90585.71345734596,112525.81285893917,111299.34972471974,6556074.205588162,11469.751629590988,20001.711510568857,236.56837639212608
524998.2700859096,16587.931747227907,18506.04850442412,34149.33386747239,130164.93192970753,42686.667334340484,14379.623933838015,23368.41132095456,80029.21257916093,93890.04520207644,58209.094170308264,5299499.140074819,9283.515009820461,18261.102012097836,146.66366313397884
577514.6927875471,16917.76235190034,23782.551462674182,37186.116899437664,135232.12580165267,46482.64267652594,14794.307837923545,28464.351542800665,88258.42429566383,113803.06410491467,63385.42418237933,6219710.774686635,10904.018625974655,20051.169226169586,206.34801328927279
633374.0774250231,21460.13772547245,23739.59406013493,51021.948025786056,141442.7423143685,63777.43158446143,13829.353546454538,25258.75913029909,87986.46138596535,116938.80533874035,86969.22958940806,6845732.201802731,11986.016125321388,20929.861941933632,204.60839343070984
654532.7756504351,14972.213945478201,22636.81032392982,51527.959468083456,156197.14317542315,64409.94933510432,11777.299987670485,29794.934464216232,98309.34863257408,124852.6088064909,87831.74909332408,7100354.009661078,12445.17763620615,22269.64335054159,261.5645494014025
538888.4097603095,22292.817802906036,16870.38196722271,37808.49061782263,122501.03071267903,47260.61327227829,15517.49241395161,22114.991475358605,81667.6882507205,100521.57264888287,64446.29552734013,5884310.86684528,10325.305197268724,19337.8416480124,133.19731249287724
619008.899093563,19849.06974130869,21229.64362456802,42690.18012591207,141921.9897069931,53362.72515739009,14541.232320389901,28966.194910109043,96992.56135928631,124428.12974333763,72767.35953960929,7052138.0275428295,12372.961092591286,22370.865673720837,210.67164369672537
604396.6609571024,18883.855791270733,17274.69629698994,45084.68476712768,135546.71002277732,56355.8559589096,12616.122579055842,27936.568711847067,96002.31615233421,121371.7013257742,76848.89448942218,6974617.152143657,12238.032351374626,21708.573081493378,191.11114029586315
545185.3110700074,19099.390627622604,16919.65010420086,37462.86535178783,126072.86015844345,46828.583413620356,11925.237855611858,24441.805572986603,87810.05894693732,111498.9475774765,63857.1592003914,6415739.86560154,11260.945904195309,19827.292919307947,144.96467510983348
617768.1700544124,22585.413906633854,20104.395265758067,47938.28082270525,134062.6085960567,59922.847580610425,12629.083422892843,27757.06521204114,95805.86147654057,122039.80667173862,81712.97867506577,6972220.577719748,12238.353790581226,21837.37958997488,203.05521950870752
655745.1051317202,16748.124529719353,21059.36411736015,51465.41965776027,152391.46028515697,64331.77457220033,11771.885748171922,30244.66148740053,100418.12429505587,126082.35059976578,87725.14714390955,7216604.938839078,12647.508826613426,22771.448442935944,235.19012440741062
576477.8520215596,17278.360083460808,17029.6599329591,42140.8867437897,128201.53265506029,52676.1153252794,16212.560209936131,23573.685338884592,90648.97318351269,111747.13116884232,71831.06635265374,6535963.919159234,11466.70052075386,20162.20535069704,154.4578119814396
590580.5446368594,21911.775101721287,19987.094367182282,40621.61673571974,134956.49307367206,50777.02091964967,13936.301015186798,25972.623916834593,93683.93169212341,119747.31617093086,69241.39216315864,6856342.676602602,12036.288034021854,21622.88545668125,180.44786692410707
612914.0176650633,21102.187763273716,17447.8588560343,44022.76435943808,137112.62701511383,55028.45889706873,13186.865524746183,29036.476246893406,98545.26567417383,124663.81496489048,75038.81228841802,7140630.343272388,12529.675918340683,22650.328322947025,188.70744329690933
665231.001201904,20027.248124539852,21811.877653646505,55595.907410031316,150774.37702974677,69494.88081476801,10929.376893704371,29673.753637611866,100023.08266121149,125744.41345691681,94765.76067011105,7212241.261590302,12645.328956067562,22990.395414233208,223.45591333508492
585708.7709757918,16140.45090764761,15827.068768554942,39176.966148950756,140055.13435930014,48971.21285784517,15396.095714435805,26479.450060635805,96133.97852408886,116909.43905949593,66778.92192282822,6747749.405835509,11855.049960434437,21354.906544983387,175.53927709162235
