epoch time D_loss G_loss mmd2 that pdf real_pdf
0 9.984335899353027 0.3504579 5.429251 nan nan NA NA
1 20.072766065597534 0.03443853 5.8491993 nan nan NA NA
2 29.9606351852417 0.035677645 6.352285 nan nan NA NA
3 39.75610852241516 0.05579836 4.0899816 nan nan NA NA
4 49.58916759490967 1.0575113 0.6112216 nan nan NA NA
5 59.44807457923889 0.4893167 1.4220014 nan nan NA NA
6 69.56223344802856 0.41959915 2.3691516 nan nan NA NA
7 79.3117949962616 0.1509377 3.1545205 nan nan NA NA
8 89.17754173278809 0.18615988 3.779324 nan nan NA NA
9 98.99263119697571 0.927503 1.3533672 nan nan NA NA
10 108.78183078765869 0.1393763 3.9785993 nan nan NA NA
11 118.62021684646606 0.5743681 2.5387807 nan nan NA NA
12 128.41739797592163 0.28172147 3.607885 nan nan NA NA
13 138.12448954582214 0.20636988 4.320369 nan nan NA NA
14 147.85296201705933 0.21702534 4.8099213 nan nan NA NA
15 157.6383216381073 0.25167146 4.9720573 nan nan NA NA
16 167.33286690711975 0.25276756 5.183646 nan nan NA NA
17 177.02795124053955 0.24967167 5.405684 nan nan NA NA
18 186.73752546310425 0.24404019 5.553399 nan nan NA NA
