SUM,Φούρνος Προθέρμανσης 1 καύσης Φ.Α.,Φούρνος Προθέρμανσης 2 καύσης Φ.Α.,Φούρνοι Προθέρμανσης 1-2 καύσης Φ.Α.,Επαγωγικός Φούρνος Προθέρμανσης,Μηχανισμός αφαίρεσης οξειδίων πριν τη διέλαση,Κύριο σώμα μηχανισμού διέλασης,Έξοδος διέλασης,Υδραυλικές Αντλίες Πρέσας,Υδραυλικές Αντλίες Πρέσας.1,Αντλιοστάσιο Πρέσας,Q_KG (Produced Quantity),Q_ST (Produced Pieces),MACHMINS (MACHINE MINUTES),TOTDH (TOTAL DELAYS -HOURS)
708748.3023274471,14696.943649947643,29901.885892558155,52919.46059401524,199571.97008258104,66149.33263806133,12365.998967104708,28866.16874206066,106447.98529970646,129646.37321770191,90203.63071403207,7440188.718161225,13016.19407492876,22034.667137861252,271.4933797419071
532792.5824583776,16228.950663745403,11191.596309067312,36002.443280700776,138931.32048362494,45003.059272532686,10313.466971718637,30861.961628437042,90108.67284971476,112902.72770345211,61367.798695895995,5489586.524418235,9783.644243389368,21493.840455561876,227.64770124852657
650594.2287434551,29263.488490223885,23669.43025610451,37974.830405295535,136846.3009969294,47468.53800661942,14702.29137709618,32511.707943856716,106619.26147776842,126229.04508113861,64729.81985297492,7512572.093610644,13142.055864095688,24405.65754801035,189.92787224054337
659838.2614737906,23954.29581350088,22165.30252254013,40858.63996895639,179810.9859278202,51073.30685673778,11887.225714971093,32842.71464216709,98590.7038821578,117412.18647420406,69645.41373949996,6607707.297715962,11622.202160000801,23306.315735578537,166.66173484921455
591881.8562854698,22565.815566539764,27065.429312825254,48856.72568203609,111979.74253936112,61070.91055031626,14519.945046534991,24201.451171189547,101269.99225842953,117191.43279492855,83278.5096852888,6237104.488245308,11001.91914820671,19201.259011477232,118.12014502286911
558169.5609002553,21881.71545380354,22220.919099164046,37912.5540046877,119782.46693299711,47390.69595363076,11251.854112945055,29070.930713653564,76731.20797756314,109408.03094148636,64623.671598899484,6654552.248084009,11624.360338330269,20762.43767157197,235.45474109053612
605295.077233395,18207.568435251713,22337.954664802586,46362.095008601114,164813.07401877642,57952.618760751386,10938.002671371256,27415.78037431836,88583.38835197687,122824.69647228718,79026.29831011553,6631812.785231054,11687.60498124361,21030.07079333067,210.9436375722289
603509.4667100486,25832.215484321117,20626.574675715,39761.66676160673,144346.2018416524,49702.08345200841,11886.27181111757,27839.911034673452,98907.40534472466,121336.34991168976,67775.56834364783,6663398.407125652,11749.701908707619,21043.97506043315,191.64766684919596
596245.4973968,22086.31993550062,25092.084020066308,47124.562701407456,126104.38096165657,58905.70337675932,12797.724716143763,26866.878608971834,94274.07412368059,120704.44876372814,80325.95915012635,6863107.480173528,12044.40605020523,21072.448350191116,171.79850597679615
588015.5227279309,19739.520726919174,22030.70191645626,46524.912553073984,139535.32090386748,58156.14069134247,11035.909210117501,27919.614619463682,82303.7989320159,114892.44470655918,79303.82821546702,6421295.229809821,11285.138247132301,20837.900351285934,210.04297860711813
