,r,p-val,power
diff,0.004025866716153423,0.5725730534033049,0.06636663379727777
Duration (sec),0.01992964175348874,0.005257929510832655,0.4613533186473541
Καθαρές Μηχανοώρες (min),-0.009125869801097364,0.2015082508618875,0.13658260314708917
Duration (min),-0.025656244404332524,0.0003241772077020083,0.669412438272414
Production Quantity (#),-0.0340989588846868,2.3696719567063754e-06,0.8902774159437917
DB  955DBW    8   in die side,-0.17674764363604584,2.0778609440101274e-135,1.0
DB  955DBW   12  in center,0.007568808101475019,0.28889390491669753,0.10899530775254711
DB  955DBW   16  in stem side,-0.11127439062136672,8.261390288454512e-55,1.0
MW   960  diff die,-0.22241766065277918,3.129640401901945e-213,1.0
MW   962  diff stem,0.10607972965883883,5.641185278626973e-50,0.9999999999999993
MW   964  dif cont disk,-0.1627989262672336,7.983114694256497e-115,1.0
DB   10DBW   92  disk temp,0.005737278304833217,0.4323654279829211,0.08353057708398626
DB   10DBW    2 pressure main ,0.030152197516039463,2.4207013707019458e-05,0.8047684260123252
DB   10DBW   12 pressure mandrel,0.05766982334026151,6.727831228028664e-16,0.9997043678788102
DB  301DBW   98  billet number,0.0453919537215616,2.0874129651641128e-10,0.9888459854663509
DB 2000DBW    8  m1 id,0.34177167369998274,0.0,1.0
DB 2000DBW   50  m1 counter,0.08653436194447348,8.725887254820145e-34,0.9999999996062839
DB 2000DBW   18  m2 id,0.3438867210186252,0.0,1.0
DB 2000DBW   52   m2 counter,0.10366891140696655,1.0113517930292389e-47,0.9999999999999959
DB 2000DBW   38  man id,0.6023969099108726,0.0,1.0
DB 2000DBW   56 man counter,0.04081487805441823,1.104661478418474e-08,0.9683110016784677
DB  700DBW   46  contener counter,0.47365206111886465,0.0,1.0
DB  301DBW  272  cooling water mandrel outlet,0.09358102410514317,3.0301267545129704e-39,0.9999999999951666
DB  301DBW  274  cooling water mandrel inlet,0.12708921501980724,1.5227596064252387e-70,1.0
DB  301DBW  276  mandrel coolng flow,-0.09442180085619653,6.755528569070479e-40,0.9999999999972232
DB  301DBW   96  mandrell movment,-0.06543621769133996,5.493669019466969e-20,0.999984375603933
DB   30DBW   80   contener position,0.009451290468960628,0.1860660097369855,0.14304533859128138
DB   10DBW  114  cont  cooling air flow,0.009168385408537772,0.19904367131169964,0.13741324938980495
MW    46  mikos  bigetas,-0.012397249450026897,0.08364318844219064,0.21238032742585353
DB  301DBW  166   mikos   solinas,-0.0847137401947048,3.298950253368205e-32,0.9999999988568381
