,r,p-val,power
diff,0.005551200933532652,0.6039131406732439,0.08135830472213375
Duration (sec),0.06644055751081207,1.1180410781884098e-09,0.9999821766261016
Καθαρές Μηχανοώρες (min),-0.0012933321007521656,0.9056458508799203,0.05160914626779335
Duration (min),-0.04128746317389885,0.00012900060030510293,0.9691909885164203
Production Quantity (#),-0.07885607483555358,4.077252222158012e-13,0.9999999411319841
DB  955DBW    8   in die side,-0.3242755835912805,3.9474414402866726e-207,1.0
DB  955DBW   12  in center,-0.005810971495379169,0.5920335939366483,0.08349499176868558
DB  955DBW   16  in stem side,-0.14852238004865176,4.3931594505391393e-44,1.0
MW   960  diff die,-0.41882802319707496,0.0,1.0
MW   962  diff stem,0.16517407283150046,6.931086329003345e-54,1.0
MW   964  dif cont disk,-0.29575066744942347,4.881564537375856e-169,1.0
DB   10DBW   92  disk temp,0.009811880400497235,0.359156441788517,0.15048798461102147
DB   10DBW    2 pressure main ,0.0031489832001176353,0.7711713720099105,0.0597440719180546
DB   10DBW   12 pressure mandrel,0.08219201712573795,1.5851887182032552e-14,0.999999994829487
DB  301DBW   98  billet number,0.05952636241787378,4.631426612613715e-08,0.9997731566094861
DB 2000DBW    8  m1 id,0.5650837781370894,0.0,1.0
DB 2000DBW   50  m1 counter,0.1816506451719365,8.464613777960932e-64,1.0
DB 2000DBW   18  m2 id,0.5669505981026662,0.0,1.0
DB 2000DBW   52   m2 counter,0.2023179929890323,1.6871920295205686e-77,1.0
DB 2000DBW   38  man id,0.7534870528426455,0.0,1.0
DB 2000DBW   56 man counter,0.043851143113669,4.581918160656621e-05,0.9828607720371717
DB  700DBW   46  contener counter,0.5096632953501157,0.0,1.0
DB  301DBW  272  cooling water mandrel outlet,0.13944544333942285,3.627281361915641e-39,1.0
DB  301DBW  274  cooling water mandrel inlet,0.18458846753244953,8.828843131928889e-68,1.0
DB  301DBW  276  mandrel coolng flow,-0.2369911974842388,4.404619102699247e-109,1.0
DB  301DBW   96  mandrell movment,-0.07768747186081476,1.0075819279864469e-12,0.9999998849994641
DB   30DBW   80   contener position,0.029545417471923942,0.007819861499150864,0.7580522765287956
DB   10DBW  114  cont  cooling air flow,0.013186772030074652,0.21782620197229488,0.23413555535118846
MW    46  mikos  bigetas,-0.03585401263590951,0.0009929818517613906,0.9087305448763884
DB  301DBW  166   mikos   solinas,-0.17060496232371725,1.1375257115330514e-53,1.0
