"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","data_augmentation","fake_data_length","method","model_name","parameters.batch_sizes","parameters.data_augmentations","parameters.fake_data_lengths","parameters.model_names","parameters.pinball_loss_usages","parameters.scaler_names","parameters.seeds","parameters.testing_stages","pinball_loss_usage","scaler_name","seed","testing_stage","Coverage_0.90","Coverage_Error_0.90","Pinball_0.05","Pinball_0.50","Pinball_0.95","Sharpness_0.90","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/mae","epoch/mape","epoch/mse","epoch/val_loss","epoch/val_mae","epoch/val_mape","epoch/val_mse","val_MAE","val_MASE","val_MSE","val_R2","val_RMSE","val_SMAPE"
"BiLSTM-standard-bs32-augTrue--seed1234--fake_data_length1600---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","2025-10-02T13:59:13.000Z","478","dcbiffy1","32","true","1600","","BiLSTM","","","","","","","","","true","standard","1234","true","0.7337278106508875","-0.16627218934911248","1.6767883528630143","49.19717449701209","2.279159908215985","39.0715217590332","14","0.004000000189989805","0.017496759071946144","0.288739413022995","71.39611053466797","0.12165196239948271","0.02979772910475731","0.42133426666259766","69.976806640625","0.2319674491882324","13.52580914238589","0.629115413962423","302.4970147983316","0.9116187678028288","17.392441312200297","20.84903316208927"
"BiLSTM-standard-bs32-augTrue--seed2021--fake_data_length1600---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","2025-10-02T13:53:05.000Z","365","dcbiffy1","32","true","1600","","BiLSTM","","","","","","","","","true","standard","2021","true","0.8698224852071006","-0.03017751479289943","1.6487671259735557","49.166906152113434","2.5037262989208124","68.78810119628906","14","0.004000000189989805","0.018511176109313965","0.30776339769363403","74.9085464477539","0.13800185918807983","0.025778019800782204","0.39314159750938416","62.07904052734375","0.1910649687051773","12.407977036448449","0.5771225608425636","279.7479932506828","0.9182654005208464","16.725668693678074","18.981991571237504"
"BiLSTM-standard-bs32-augTrue--seed777--fake_data_length1600---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","2025-10-02T13:45:45.000Z","394","dcbiffy1","32","true","1600","","BiLSTM","","","","","","","","","true","standard","777","true","0.7692307692307693","-0.13076923076923075","1.9802717369082852","49.13437496632139","2.0879254738375908","45.23553085327149","14","0.004000000189989805","0.0169599037617445","0.2833128273487091","71.07567596435547","0.1157117635011673","0.02707196958363056","0.42537739872932434","66.6084213256836","0.21698570251464844","13.07033403704946","0.607930255542188","295.29912880203665","0.9137217903202292","17.1842698070659","21.644506166805996"
"BiLSTM-standard-bs32-augTrue--seed4242--fake_data_length1600---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","2025-10-02T13:38:35.000Z","428","dcbiffy1","32","true","1600","","BiLSTM","","","","","","","","","true","standard","4242","true","0.8579881656804734","-0.0420118343195266","1.5937297436535447","49.14024378739286","2.2222802238781356","59.52669525146485","14","0.004000000189989805","0.018599912524223328","0.3092035949230194","73.35961151123047","0.1384688913822174","0.03440035134553909","0.3865898847579956","64.80465698242188","0.1935344785451889","12.156409547283982","0.5654215983774616","253.54832490548847","0.9259202164635728","15.923200837315608","19.05455888198472"
"BiLSTM-standard-bs32-augTrue--seed42--fake_data_length1600---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","2025-10-02T13:30:59.000Z","453","dcbiffy1","32","true","1600","","BiLSTM","","","","","","","","","true","standard","42","true","0.7869822485207101","-0.11301775147928994","2.092646960633085","49.227882084568975","1.7962317070301042","47.30369186401367","14","0.004000000189989805","0.01786547526717186","0.30063173174858093","74.7657241821289","0.13200782239437103","0.030596494674682617","0.5195816159248352","77.23441314697266","0.31047871708869934","14.47762882103317","0.6733866604990377","340.3811647491458","0.9005500706269987","18.449421799859905","27.790935141746765"
"BiLSTM-standard-bs32-augTrue--seed1234--fake_data_length1200---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","2025-10-02T13:25:21.000Z","334","dcbiffy1","32","true","1200","","BiLSTM","","","","","","","","","true","standard","1234","true","0.7396449704142012","-0.16035502958579884","2.0268784389395775","49.07631352754343","2.428203894858134","53.543216705322266","14","0.004000000189989805","0.01814519241452217","0.296987384557724","77.9910659790039","0.13255007565021515","0.023381050676107407","0.412316232919693","69.30911254882812","0.22673951089382172","16.074718795386115","0.7476708611537466","389.34655340657775","0.8862437430507005","19.731866445082627","25.82774277275678"
"BiLSTM-standard-bs32-augTrue--seed2021--fake_data_length1200---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","2025-10-02T13:19:08.000Z","369","dcbiffy1","32","true","1200","","BiLSTM","","","","","","","","","true","standard","2021","true","0.7810650887573964","-0.11893491124260358","1.6675788215422154","49.21237013363913","1.9801000212809663","46.27814865112305","14","0.004000000189989805","0.018645435571670532","0.3136724829673767","81.08589935302734","0.14035993814468384","0.0272627342492342","0.4015282392501831","62.27474594116211","0.194622203707695","12.133499069525117","0.564355981189786","240.9225970123603","0.92960910373846","15.521681513687888","21.594792410036355"
"BiLSTM-standard-bs32-augTrue--seed777--fake_data_length1200---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","2025-10-02T13:13:36.000Z","328","dcbiffy1","32","true","1200","","BiLSTM","","","","","","","","","true","standard","777","true","0.9230769230769232","0.023076923076923102","1.3495574028853925","49.14486442425856","2.4569898040325966","68.78950500488281","14","0.004000000189989805","0.01845371909439564","0.309696227312088","79.40511322021484","0.13976667821407318","0.02751467004418373","0.3694329857826233","58.10778045654297","0.1864896714687347","11.9703656461685","0.5567682834716146","256.04355264870077","0.9251911801697612","16.001360962390066","19.639172469407537"
"BiLSTM-standard-bs32-augTrue--seed4242--fake_data_length1200---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","2025-10-02T13:05:29.000Z","486","dcbiffy1","32","true","1200","","BiLSTM","","","","","","","","","true","standard","4242","true","0.8224852071005917","-0.07751479289940832","1.6888684037841373","49.13210769995672","1.871121059678849","49.577999114990234","14","0.004000000189989805","0.018896857276558876","0.31492090225219727","78.55196380615234","0.14114360511302948","0.028930092230439183","0.5455251932144165","85.34474182128906","0.3533734083175659","13.628211640857558","0.6338783815260349","334.58492816522437","0.902243570087596","18.291662804819698","20.418497529553072"
"BiLSTM-standard-bs32-augTrue--seed42--fake_data_length1200---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","2025-10-02T12:59:58.000Z","328","dcbiffy1","32","true","1200","","BiLSTM","","","","","","","","","true","standard","42","true","0.8284023668639053","-0.07159763313609468","1.537933799832751","49.208502074935026","1.756172421533814","39.03627014160156","14","0.004000000189989805","0.019685259088873863","0.31995904445648193","87.88363647460938","0.15056945383548737","0.023435167968273163","0.31819668412208557","53.32093048095703","0.14783547818660736","12.529845151609392","0.5827909174570334","257.0060448896802","0.9249099666500356","16.031408075701904","21.27652636316006"
