"Name","state","Notes","User","Tags","Created","Runtime","Sweep","data_augmentation","fake_data_length","model_name","scaler_name","seed","val_MAE","val_MASE","val_MSE","val_R2","val_RMSE","val_SMAPE","Pinball_0.05","Pinball_0.50","Pinball_0.95","Coverage_0.90","Coverage_Error_0.90","Sharpness_0.90","batch_size","testing_stage","pinball_loss_usage"
"TFT-standard-bs16-augTrue--seed2021--fake_data_length200---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","200","TFT","standard","2021","11.0189208984375","","193.49102783203125","0.9434672594070436","13.910105241587184","23.116491317749023","1.2617336511611938","5.50946044921875","1.376292109489441","0.8698224852071006","-0.0301775147928994","43.73852157592773","16","True","True"
"TFT-standard-bs16-augTrue--seed4242--fake_data_length400---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","400","TFT","standard","4242","10.88670825958252","","186.32632446289065","0.9455606341362","13.650140089496906","24.243764877319336","1.2076270580291748","5.44335412979126","1.4556586742401123","0.8165680473372781","-0.0834319526627219","37.99674224853516","16","True","True"
"TFT-standard-bs16-augTrue--seed2021--fake_data_length800---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","800","TFT","standard","2021","10.918182373046877","","208.08450317382807","0.9392035007476808","14.42513442480964","19.50469398498535","1.452463984489441","5.4590911865234375","1.550351858139038","0.8698224852071006","-0.0301775147928994","46.90643310546875","16","True","True"
"TFT-standard-bs16-augTrue--seed777--fake_data_length800---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","800","TFT","standard","777","12.359088897705078","","254.04656982421875","0.92577463388443","15.93883840887468","21.235424041748047","1.820984959602356","6.179544448852539","2.3380398750305176","0.727810650887574","-0.172189349112426","34.68035125732422","16","True","True"
"TFT-standard-bs16-augTrue--seed4242--fake_data_length800---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","800","TFT","standard","4242","10.697336196899414","","189.05422973632807","0.9447636008262634","13.749699259850308","20.277820587158203","1.277086615562439","5.348668098449707","1.8020647764205933","0.7810650887573964","-0.1189349112426035","32.56983947753906","16","True","True"
"TFT-standard-bs16-augTrue--seed4242--fake_data_length200---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","200","TFT","standard","4242","11.693269729614258","","211.25225830078125","0.9382779598236084","14.534519541449631","27.39482879638672","1.7239755392074585","5.846634864807129","1.6559715270996094","0.7633136094674556","-0.1366863905325444","35.09638977050781","16","True","True"
"TFT-standard-bs16-augTrue--seed1234--fake_data_length1600---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","1600","TFT","standard","1234","11.2135648727417","","217.6979217529297","0.9363946914672852","14.754589853768543","18.628643035888672","2.0059142112731934","5.60678243637085","1.4034987688064575","0.7751479289940828","-0.1248520710059172","31.800657272338867","16","True","True"
"TFT-standard-bs16-augTrue--seed42--fake_data_length1200---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","1200","TFT","standard","42","10.93969440460205","","201.3993682861328","0.9411566853523254","14.191524522972603","20.934200286865234","1.9371074438095093","5.469847202301025","2.03249192237854","0.6568047337278107","-0.2431952662721893","26.07431411743164","16","True","True"
"TFT-standard-bs16-augTrue--seed4242--fake_data_length1200---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","1200","TFT","standard","4242","10.77145290374756","","204.82115173339844","0.9401569366455078","14.31157404807027","20.08898162841797","2.1340584754943848","5.385726451873779","2.046017646789551","0.6745562130177515","-0.2254437869822485","26.127849578857425","16","True","True"
"TFT-standard-bs16-augTrue--seed777--fake_data_length200---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","200","TFT","standard","777","10.343510627746582","","168.82464599609375","0.9506741166114808","12.993253864836696","22.41196060180664","1.2778805494308472","5.171755313873291","1.2546677589416504","0.8165680473372781","-0.0834319526627219","31.564239501953125","16","True","True"
