"Name","state","Notes","User","Tags","Created","Runtime","Sweep","data_augmentation","fake_data_length","model_name","scaler_name","seed","val_MAE","val_MASE","val_MSE","val_R2","val_RMSE","val_SMAPE","Pinball_0.05","Pinball_0.50","Pinball_0.95","Coverage_0.90","Coverage_Error_0.90","Sharpness_0.90","batch_size","testing_stage","pinball_loss_usage"
"TFT-standard-bs16-augTrue--seed42--fake_data_length1600---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","","","","True","1600","TFT","standard","42","11.505029678344728","","224.6333465576172","0.934368371963501","14.987773235461535","17.763629913330078","","","","","","","16","True","False"
"TFT-standard-bs16-augTrue--seed777--fake_data_length400---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","","","","True","400","TFT","standard","777","15.884305000305176","","360.2891540527344","0.8947334885597229","18.981284309886263","29.950090408325195","","","","","","","16","True","False"
"TFT-standard-bs16-augTrue--seed2021--fake_data_length200---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","200","TFT","standard","2021","11.0189208984375","","193.49102783203125","0.9434672594070436","13.910105241587184","23.116491317749023","1.2617336511611938","5.50946044921875","1.376292109489441","0.8698224852071006","-0.0301775147928994","43.73852157592773","16","True","True"
"TFT-standard-bs16-augTrue--seed4242--fake_data_length400---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","400","TFT","standard","4242","10.88670825958252","","186.32632446289065","0.9455606341362","13.650140089496906","24.243764877319336","1.2076270580291748","5.44335412979126","1.4556586742401123","0.8165680473372781","-0.0834319526627219","37.99674224853516","16","True","True"
"TFT-standard-bs16-augTrue--seed777--fake_data_length200---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","","","","True","200","TFT","standard","777","10.28887176513672","","181.3743591308593","0.947007417678833","13.46752980805535","17.620317459106445","","","","","","","16","True","False"
"TFT-standard-bs16-augTrue--seed2021--fake_data_length800---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","800","TFT","standard","2021","10.918182373046877","","208.08450317382807","0.9392035007476808","14.42513442480964","19.50469398498535","1.452463984489441","5.4590911865234375","1.550351858139038","0.8698224852071006","-0.0301775147928994","46.90643310546875","16","True","True"
"TFT-standard-bs16-augTrue--seed777--fake_data_length800---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","800","TFT","standard","777","12.359088897705078","","254.04656982421875","0.92577463388443","15.93883840887468","21.235424041748047","1.820984959602356","6.179544448852539","2.3380398750305176","0.727810650887574","-0.172189349112426","34.68035125732422","16","True","True"
"TFT-standard-bs16-augTrue--seed42--fake_data_length1200---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","","","","True","1200","TFT","standard","42","11.20507526397705","","213.5207977294922","0.937615156173706","14.612350862523533","17.378376007080078","","","","","","","16","True","False"
"TFT-standard-bs16-augTrue--seed4242--fake_data_length1200---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","","","","True","1200","TFT","standard","4242","10.716002464294434","","186.8327178955078","0.9454126358032228","13.668676523186427","21.67512321472168","","","","","","","16","True","False"
"TFT-standard-bs16-augTrue--seed2021--fake_data_length800---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","","","","True","800","TFT","standard","2021","11.80470085144043","","239.2083740234375","0.930109977722168","15.466362662999904","23.91436767578125","","","","","","","16","True","False"
"TFT-standard-bs16-augTrue--seed777--fake_data_length1600---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","","","","True","1600","TFT","standard","777","11.72408962249756","","213.845458984375","0.9375202655792236","14.623455781188488","20.9509220123291","","","","","","","16","True","False"
"TFT-standard-bs16-augTrue--seed4242--fake_data_length800---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","800","TFT","standard","4242","10.697336196899414","","189.05422973632807","0.9447636008262634","13.749699259850308","20.277820587158203","1.277086615562439","5.348668098449707","1.8020647764205933","0.7810650887573964","-0.1189349112426035","32.56983947753906","16","True","True"
"TFT-standard-bs16-augTrue--seed4242--fake_data_length1600---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","","","","True","1600","TFT","standard","4242","10.281603813171388","","179.84735107421875","0.9474536180496216","13.410717768792942","18.28515815734864","","","","","","","16","True","False"
"TFT-standard-bs16-augTrue--seed2021--fake_data_length200---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","","","","True","200","TFT","standard","2021","11.304701805114746","","203.48182678222656","0.9405482411384584","14.264705632512245","23.52295684814453","","","","","","","16","True","False"
"TFT-standard-bs16-augTrue--seed1234--fake_data_length400---pinball_loss_usageFalse---testing_stageTrue","finished","-","","","","","","True","400","TFT","standard","1234","11.54225254058838","","210.9349060058593","0.938370645046234","14.523598245815649","20.971254348754883","","","","","","","16","True","False"
"TFT-standard-bs16-augTrue--seed4242--fake_data_length200---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","200","TFT","standard","4242","11.693269729614258","","211.25225830078125","0.9382779598236084","14.534519541449631","27.39482879638672","1.7239755392074585","5.846634864807129","1.6559715270996094","0.7633136094674556","-0.1366863905325444","35.09638977050781","16","True","True"
"TFT-standard-bs16-augTrue--seed1234--fake_data_length1600---pinball_loss_usageTrue---testing_stageTrue","finished","-","","","","","","True","1600","TFT","standard","1234","11.2135648727417","","217.6979217529297","0.9363946914672852","14.754589853768543","18.628643035888672","2.0059142112731934","5.60678243637085","1.4034987688064575","0.7751479289940828","-0.1248520710059172","31.800657272338867","16","True","True"
